TRAMO,PR,LATITUD,LONGITUD,DISTANCIA
2002,125,1.87276,-76.22929,0
2002,126,1.86969157,-76.23248315,887
2002,127,1.86149206,-76.23005153,1872
2002,128,1.85274714,-76.23057127,2928
2002,129,1.8509167,-76.22218173,3916
2002,130,1.85394193,-76.21384425,4922
2002,131,1.85708202,-76.20478986,6032
2002,132,1.8558717,-76.1999342,7046
2002,133,1.85622275,-76.19218664,8085
2002,134,1.85773482,-76.18493541,9126
2002,135,1.85654002,-76.17662611,10076
2002,136,1.85588101,-76.16711595,11138
2002,137,1.85548103,-76.15766701,12211
2002,138,1.8559038,-76.1492796,13145
2002,139,1.85662805,-76.13923562,14266
2002,140,1.8607482,-76.13120487,15325
2002,141,1.86674903,-76.12810062,16378
2002,142,1.87056655,-76.11983227,17413
2002,143,1.86585511,-76.11202131,18452
2002,144,1.8594861,-76.10502527,19502
2002,145,1.85260561,-76.09718586,20659
2002,146,1.846387,-76.090274,21691
2003,0,2.06233444,-75.79084869,0
2402,99,2.47958,-75.55513,0
2402,100,2.48751168,-75.55107379,1002
4502,0,0.57799289,-76.54846787,0
4502,1,0.58587229,-76.55761219,1604
4502,2,0.59123177,-76.5628916,2439
4502,3,0.59551049,-76.5675192,3139
4502,4,0.604045,-76.57280433,4253
4502,5,0.61270923,-76.5743497,5242
4502,6,0.62123421,-76.57597253,6206
4502,7,0.62965647,-76.58020647,7270
4502,8,0.63759272,-76.58208101,8213
4502,9,0.64609704,-76.58624511,9288
4502,10,0.65402662,-76.58867867,10253
4502,11,0.6604561,-76.59518373,11339
4502,12,0.66916572,-76.60187898,12592
4502,13,0.67583742,-76.60212412,13342
4502,14,0.68362714,-76.60541168,14319
4502,15,0.69222601,-76.60600705,15297
4502,16,0.70130192,-76.60427701,16321
4502,17,0.71097365,-76.59947851,17573
4502,18,0.71831025,-76.59851245,18416
4502,19,0.727003,-76.59353001,19552
4502,20,0.73418627,-76.59239402,20421
4502,21,0.74163522,-76.59127743,21337
4502,22,0.74814574,-76.58759914,22280
4502,23,0.75805398,-76.58588792,23394
4502,24,0.7651236,-76.58132538,24429
4502,25,0.77298208,-76.58101192,25349
4502,26,0.78008411,-76.57651024,26377
4502,27,0.78894948,-76.57458026,27398
4502,28,0.7986675,-76.57301844,28533
4502,29,0.8047971,-76.57256503,29373
4502,30,0.81314342,-76.56822948,30481
4502,31,0.82114661,-76.56934697,31435
4502,32,0.82900529,-76.57085879,32372
4502,33,0.83803039,-76.57110264,33431
4502,34,0.84552233,-76.57355117,34429
4502,35,0.85308662,-76.57647111,35403
4502,36,0.8614281,-76.57895974,36743
4502,37,0.86950776,-76.5787919,37720
4502,38,0.87656914,-76.5788459,38534
4502,39,0.88740803,-76.5766597,39775
4502,40,0.8940389,-76.57514217,40569
4502,41,0.89977933,-76.57217721,41386
4502,42,0.90816319,-76.57383254,42353
4502,43,0.9153665,-76.57361549,43295
4502,44,0.91870248,-76.57910862,44415
4502,45,0.92320597,-76.58408954,45342
4502,46,0.93030719,-76.58605578,46248
4502,47,0.94008961,-76.58845483,47382
4502,48,0.94932557,-76.59165053,48484
4502,49,0.95646413,-76.59413288,49323
4502,50,0.96401885,-76.59850689,50309
4502,51,0.97451288,-76.6031951,51603
4502,52,0.98072731,-76.60507035,52327
4502,53,0.98939762,-76.60901674,53427
4502,54,0.99721,-76.611288,54329
4502,55,1.00586,-76.612506,55321
4502,56,1.013837,-76.612911,56287
4502,57,1.022567,-76.615311,57289
4502,58,1.03017989,-76.61746225,58166
4502,59,1.0392572,-76.61639392,59393
4502,60,1.04267693,-76.62002599,60337
4503,2,1.16391222,-76.64715367,750
4503,3,1.17388147,-76.64928006,1889
4503,4,1.18254185,-76.64870039,2851
4503,5,1.19265657,-76.64654327,4015
4503,6,1.19992331,-76.64276951,4984
4503,7,1.20871096,-76.64290263,5984
4503,8,1.21546616,-76.63768762,6951
4503,9,1.2208919,-76.6321543,7892
4503,10,1.22533014,-76.6239612,8975
4503,11,1.23343029,-76.6189481,10129
4503,12,1.23921002,-76.61334683,11027
4503,13,1.2461301,-76.60528781,12298
4503,14,1.25143897,-76.60409629,13035
4503,15,1.25742344,-76.60473348,13954
4503,16,1.26231322,-76.59825867,14996
4503,17,1.26917671,-76.59522506,15955
4503,18,1.27118217,-76.58823089,16816
4503,19,1.26984501,-76.58174529,17643
4503,20,1.2767039,-76.57803133,18934
4503,21,1.27799271,-76.57081715,19941
4503,22,1.28541831,-76.56691707,20917
4503,23,1.29356228,-76.56712367,21879
4503,24,1.30207691,-76.56289948,22951
4503,25,1.30991554,-76.55956245,23935
4503,26,1.31667338,-76.55420172,24931
4503,27,1.32493968,-76.54967684,25991
4503,28,1.33046147,-76.54405388,26918
4503,29,1.33768757,-76.53868292,27937
4503,30,1.34503752,-76.53351311,28963
4503,31,1.35043037,-76.52952991,29878
4503,32,1.35538816,-76.52283554,30948
4503,33,1.36064626,-76.51779399,31773
4503,34,1.36936598,-76.51515918,32864
4503,35,1.37689879,-76.51322801,33766
4503,36,1.38503592,-76.51434223,34769
4503,37,1.39325457,-76.51442448,35793
4503,38,1.40108966,-76.51093979,36794
4503,39,1.4073684,-76.50737845,37765
4503,40,1.4088241,-76.50051891,38952
4503,41,1.40812881,-76.49534912,39765
4503,42,1.41325259,-76.49341963,40749
4503,43,1.42028697,-76.48912253,41826
4503,44,1.42332491,-76.48445217,42782
4503,45,1.42858439,-76.47900471,43810
4503,46,1.42767725,-76.4729524,44652
4503,47,1.43297969,-76.46396134,45885
4503,48,1.43204892,-76.45967708,46760
4503,49,1.4274807,-76.46133589,47686
4503,50,1.42850457,-76.45446853,48698
4503,51,1.43293794,-76.44891926,49626
4503,52,1.43790712,-76.44413577,50548
4503,53,1.44246575,-76.44131492,51544
4503,54,1.44802904,-76.43515239,52560
4503,55,1.4545064,-76.43157086,53402
4503,56,1.46012871,-76.42809336,54358
4503,57,1.46552315,-76.4263422,55195
4503,58,1.47237372,-76.42215133,56302
4503,59,1.47705059,-76.41647345,57319
4503,60,1.48162898,-76.41361173,58148
4503,61,1.48717513,-76.41049008,59117
4503,62,1.49217113,-76.40567875,60058
4503,63,1.49590876,-76.40137614,61023
4503,64,1.49654889,-76.39690513,61993
4503,65,1.49472481,-76.39181225,62961
4503,66,1.49655537,-76.3846494,64091
4503,67,1.49755959,-76.37632377,65068
4503,68,1.49947511,-76.36836788,66005
4503,69,1.50039135,-76.36186112,66977
4503,70,1.50420876,-76.35591508,67915
4503,71,1.50873954,-76.34899685,68890
4503,72,1.51126159,-76.34365049,69828
4503,73,1.51797552,-76.33836951,70811
4503,74,1.52331995,-76.33324356,71722
4503,75,1.528974,-76.327662,72663
4503,76,1.53401062,-76.32106383,73612
4503,77,1.5416109,-76.31751679,74567
4503,78,1.54991768,-76.31781636,75499
4503,79,1.55733601,-76.31785389,76493
4503,80,1.55864834,-76.31286003,77456
4503,81,1.56574579,-76.31408219,78399
4503,82,1.57197278,-76.30838364,79386
4503,83,1.57716985,-76.30344109,80319
4503,84,1.58328757,-76.30231637,81267
4503,85,1.58865444,-76.29589694,82196
4503,86,1.59383762,-76.28959229,83195
4503,87,1.60211556,-76.28981845,84194
4503,88,1.60847373,-76.28695655,85234
4503,89,1.61558666,-76.28484713,86188
4503,90,1.62051317,-76.28184119,87054
4503,91,1.62201617,-76.27428936,88037
4503,92,1.62914588,-76.27340171,89019
4503,93,1.63480901,-76.2671787,90034
4503,94,1.63751487,-76.25945757,91050
4503,95,1.64374304,-76.25693513,92026
4503,96,1.65051185,-76.25238288,93026
4503,97,1.65444,-76.24581,94018
4503,98,1.66135437,-76.24265018,95015
4503,99,1.66606616,-76.23921162,95998
4503,100,1.67005322,-76.2321781,96998
4503,101,1.67455019,-76.22812961,97990
4503,102,1.67844834,-76.22329455,98978
4503,103,1.68265519,-76.21773772,100134
4503,104,1.68691438,-76.21038978,101143
4503,105,1.69123474,-76.20250693,102158
4503,106,1.69530449,-76.19581796,103134
4503,107,1.70068814,-76.1890826,104138
4503,108,1.70821667,-76.19059048,105144
4503,109,1.71610014,-76.18899827,106107
4503,110,1.72159565,-76.18341259,107121
4503,111,1.72939775,-76.18079317,108127
4503,112,1.7376199,-76.17790421,109193
4503,113,1.74457358,-76.17743404,110090
4503,114,1.75308303,-76.18007079,111110
4503,115,1.76072561,-76.17870086,112114
4503,116,1.76722977,-76.17281495,113107
4503,117,1.7743954,-76.16750001,114133
4503,118,1.77996274,-76.16064884,115114
4503,119,1.78573833,-76.15364324,116122
4503,120,1.79245981,-76.14806347,117113
4503,121,1.79852519,-76.14141806,118114
4503,122,1.80651051,-76.13727513,119113
4503,123,1.814036,-76.132415,120112
4503,124,1.82077015,-76.12640862,121113
4503,125,1.82763067,-76.12056351,122112
4503,126,1.83307573,-76.11347403,123110
4503,127,1.83813671,-76.10599748,124113
4503,128,1.84215225,-76.09781418,125126
4503,129,1.84589498,-76.08977874,126112
4503,130,1.84760348,-76.08158044,127058
4503,131,1.84722646,-76.07340733,127968
4503,132,1.8465,-76.0652,128886
4504,2,1.8633,-76.03321,0
4504,3,1.86762719,-76.02591108,984
4504,4,1.87459492,-76.02064945,1981
4504,5,1.88002347,-76.0139208,2985
4504,6,1.88059819,-76.00533753,3987
4504,7,1.8857054,-75.99869538,4984
4504,8,1.891931,-75.99300188,5986
4504,9,1.89793648,-75.98662861,6991
4504,10,1.90108168,-75.97871538,7992
4504,11,1.90433403,-75.9705864,8980
4504,12,1.90620027,-75.96285051,9976
4504,13,1.91231331,-75.95789118,10967
4504,14,1.91928315,-75.95232312,11970
4504,15,1.92724083,-75.94983223,12971
4504,16,1.93518779,-75.94627174,13981
4504,17,1.94195807,-75.94065851,14974
4504,18,1.94894134,-75.93514949,15975
4504,19,1.95608051,-75.93534601,16975
4504,20,1.96354324,-75.93259127,17967
4504,22,1.98007452,-75.93328105,19957
4504,23,1.98527475,-75.92676072,21002
4504,24,1.98810742,-75.91949743,21997
4504,25,1.9947828,-75.91324779,23026
4504,26,2.000336,-75.907784,24030
4504,27,2.00330626,-75.89963245,25030
4504,28,2.00678278,-75.89156208,26029
4504,29,2.01335464,-75.88632685,27027
4504,30,2.0193549,-75.8798848,28024
4504,31,2.02560294,-75.87509094,29067
4504,32,2.03024929,-75.86812773,30064
4504,33,2.03808054,-75.86455305,31062
4504,34,2.042605,-75.858987,32061
4504,35,2.04825222,-75.85681917,33053
4504,36,2.05095154,-75.85017546,34047
4504,37,2.05668629,-75.84579738,35054
4504,38,2.05983059,-75.84098928,36060
4504,39,2.05899873,-75.83403837,37047
4504,40,2.06518433,-75.82810859,38073
4504,41,2.06729815,-75.8195273,39069
4504,42,2.06776295,-75.81083642,40068
4504,43,2.06154572,-75.80516327,41067
4504,44,2.0605381,-75.79654985,42066
4504,45,2.06519166,-75.78963224,43077
4504,46,2.07380301,-75.78705565,44079
4504,47,2.07952741,-75.78094162,45084
4504,48,2.08536045,-75.77429762,46085
4504,49,2.08489977,-75.76699006,47081
4504,50,2.09175223,-75.76248039,48076
4504,51,2.09821976,-75.75767498,49073
4504,52,2.10443608,-75.75280968,50068
4504,53,2.1086615,-75.74517789,51072
4504,54,2.11163304,-75.74341972,52060
4504,55,2.11900957,-75.74087193,53067
4504,56,2.12083138,-75.73413048,54060
4504,57,2.12699983,-75.72756499,55060
4504,58,2.1329065,-75.72077728,56060
4504,59,2.13681063,-75.7127381,57060
4504,60,2.14020371,-75.70445626,58058
4504,61,2.1453407,-75.6970512,59058
4504,62,2.1513714,-75.69039011,60056
4504,63,2.15760953,-75.68387261,61057
4504,64,2.16366365,-75.67777937,62051
4504,65,2.17081356,-75.67261137,63055
4504,66,2.17741853,-75.66854246,64052
4504,67,2.18251569,-75.66138667,65046
4504,68,2.1855084,-75.65437278,66046
4504,69,2.19076768,-75.64856206,67036
4504,70,2.19311716,-75.64202265,68037
4504,71,2.192668,-75.633243,69036
4505,0,2.197436,-75.629384,0
4505,1,2.202878,-75.624109,951
4505,2,2.211591,-75.6216944,2017
4505,3,2.21965989,-75.61914055,3019
4505,4,2.22785282,-75.61606559,3994
4505,5,2.23657286,-75.61691216,4976
4505,6,2.244375,-75.618572,5989
4505,7,2.25271324,-75.6215707,6988
4505,8,2.26116732,-75.6217616,7957
4505,9,2.26875949,-75.618337,8947
4505,10,2.27651029,-75.61714069,9931
4505,11,2.28474403,-75.62099145,10953
4505,12,2.29150485,-75.62348758,11758
4505,13,2.30012748,-75.62838505,12921
4505,14,2.30646616,-75.62607338,13712
4505,15,2.31203208,-75.62044712,14608
4505,16,2.31828569,-75.61345296,15720
4505,17,2.32169936,-75.60579857,16701
4505,18,2.32591706,-75.59913715,17661
4505,19,2.33113685,-75.59787925,18605
4505,20,2.33542764,-75.59596023,19238
4505,21,2.34082373,-75.59096089,20253
4505,22,2.3459718,-75.58408336,21233
4505,23,2.349703,-75.576406,22239
4505,24,2.35588703,-75.57112765,23207
4505,25,2.35984549,-75.56319115,24201
4505,26,2.36170933,-75.55458695,25218
4505,27,2.36540127,-75.5569741,26160
4505,28,2.37247881,-75.55999704,27154
4505,29,2.37873408,-75.55478726,28174
4505,30,2.38442479,-75.54826114,29173
4505,31,2.39151875,-75.5444359,30165
4505,32,2.39708197,-75.53769358,31182
4505,33,2.40418747,-75.53259508,32161
4505,34,2.41191184,-75.5290997,33146
4505,35,2.4204427,-75.52781632,34136
4505,36,2.42899724,-75.52549907,35130
4505,37,2.43616678,-75.52679818,36107
4505,38,2.44110944,-75.53149015,37095
4505,39,2.44824213,-75.53276258,38100
4505,40,2.45415373,-75.5370669,39085
4505,41,2.46219398,-75.54029479,40097
4505,42,2.47032731,-75.54243884,41095
4505,43,2.47677578,-75.54075912,42075
4505,44,2.48163565,-75.53995415,43097
4505,45,2.48024359,-75.54782655,44052
4505,46,2.4882702,-75.54938506,45070
4505,47,2.49325769,-75.54368165,46083
4505,48,2.499446,-75.537243,47168
4505,49,2.50575767,-75.53549803,48084
4505,50,2.51296993,-75.5314894,49079
4505,51,2.51928655,-75.52520923,50074
4505,52,2.52528417,-75.51860034,51073
4505,53,2.53084254,-75.51195664,52070
4505,54,2.53514927,-75.50529841,53071
4505,55,2.54069529,-75.50436075,54062
4505,56,2.54667958,-75.49761581,55062
4505,57,2.55410771,-75.49265359,56061
4505,58,2.56226871,-75.48881876,57060
4505,59,2.56354507,-75.48229263,58027
4505,60,2.56002684,-75.47381908,59066
4505,61,2.55723665,-75.46628818,60058
4505,62,2.56574091,-75.46335523,61056
4505,63,2.57368911,-75.45981349,62054
4505,64,2.58145842,-75.45619478,63061
4505,65,2.58280813,-75.44887529,64065
4505,66,2.58397974,-75.44115469,64958
4505,67,2.58602516,-75.43302861,65913
4505,68,2.59216554,-75.42618237,66937
4505,69,2.59644686,-75.4186947,67916
4505,70,2.60189913,-75.41170075,68900
4505,71,2.60736572,-75.40463547,69893
4505,72,2.61088574,-75.39595888,70933
4505,73,2.61605944,-75.38940796,71888
4505,74,2.62245797,-75.38333795,72888
4505,75,2.62468371,-75.37513251,73867
4505,76,2.62196394,-75.36740803,74824
4505,77,2.61711547,-75.35999511,75857
4505,78,2.61585148,-75.35289701,76801
4505,79,2.62318416,-75.34840979,77828
4505,80,2.63170351,-75.34565176,78820
4505,81,2.64044515,-75.34320822,79825
4505,82,2.64890921,-75.34062068,80804
4505,83,2.65752659,-75.33814417,81795
4505,84,2.66623473,-75.33540707,82805
4505,85,2.67498586,-75.33285074,83882
4505,86,2.68132293,-75.32931014,84892
4505,87,2.68889285,-75.32524172,85927
4505,88,2.69467701,-75.32042761,86851
4505,89,2.70302763,-75.31824596,87830
4505,90,2.71139904,-75.3156395,88813
4505,91,2.72050589,-75.31683249,89829
4505,92,2.72943277,-75.31781298,90822
4505,93,2.73775503,-75.31521743,91808
4505,94,2.74492836,-75.3107938,92774
4505,95,2.75385331,-75.30866192,93793
4505,96,2.76257115,-75.30694075,94777
4505,97,2.77146049,-75.30506733,95783
4505,98,2.77992221,-75.30310313,96743
4505,99,2.78877924,-75.30132927,97742
4505,100,2.79763598,-75.29917112,98751
4505,101,2.80637199,-75.29732694,99738
4505,102,2.8150072,-75.29526704,100720
4505,103,2.82391663,-75.29334535,101729
4505,104,2.83224612,-75.29137455,102675
4505,105,2.84064977,-75.28960176,103625
4505,106,2.84930506,-75.28752158,104610
4505,107,2.85756942,-75.28395715,105620
4505,108,2.86594615,-75.2793157,106712
4505,109,2.874579,-75.27733,107709
4505,110,2.88293878,-75.27599632,108682
4505,111,2.891838,-75.27683,109695
20HL01,0,1.87114558,-76.23164722,0
20HL01,1,1.87180075,-76.23420382,880
20HL01,2,1.87508814,-76.24202996,1899
20HL01,3,1.87843463,-76.24921069,2919
20HL01,4,1.87661349,-76.25261074,3933
20HL01,5,1.87605373,-76.25973476,4751
20HL01,6,1.87951821,-76.26797697,5771
20HL01,7,1.88518004,-76.27477032,6903
20HL01,8,1.88754867,-76.2830963,7884
20HL01,9,1.88812851,-76.29038947,8873
45HLB,0,2.19357593,-75.64038306,0
45HLB,1,2.2012412,-75.63752816,1023
45HLB,2,2.20695504,-75.63152081,2028
45HLB,3,2.20982278,-75.62347273,3028
45HLC,0,1.8468556,-76.06755846,0
45HLC,1,1.85096999,-76.06058173,978
45HLC,2,1.85681535,-76.05455247,1982
45HLC,3,1.86289066,-76.04808183,2983
45HLC,4,1.86613874,-76.04047396,3978
45HLC,5,1.8650902,-76.0323486,4918
